Title,Plot
The Incredible 2-Headed Transplant,"Dr. Roger Girard (Bruce Dern) is a rich scientist experimenting with head transplantation. His caretaker has a son, Danny (John Bloom), who is an extremely strong full-grown man, but he has the mind of a child due to brain damage sustained in a mine accident. In an unusual turn of events, Manuel Cass (Albert Cole), a recently escaped mental patient and serial killer, has murdered Dr. Girard's caretaker and is seriously injured himself. Given an unprecedented chance to use human subjects -- a mortally wounded psychotic and a disabled man with little chance of surviving on his own, neither of whom he thinks will be missed -- Dr. Girard transplants Cass's head onto Danny's body to prove that his techniques can be applied to human beings. The new creature, with one head of a murderer and the other with the mental capacity of an eight-year old attached to an extremely powerful body, escapes and wreaks havoc.[2]"
Heat and Dust,"In 1982, an Englishwoman named Ann (Julie Christie) begins an investigation into the fate of her great-aunt Olivia (Greta Scacchi), whose letters and diary she has inherited. She interviews the elderly Harry Hamilton-Paul (Nickolas Grace), who in his youth was Olivia's close friend when they were both living in India.
Anne’s search brings her to India, where the story of Olivia's life is told in flashbacks. In 1923, during the British Raj, Olivia, recently married to Douglas Rivers (Christopher Cazenove), a civil servant in the colonial administration, has come to join her husband in Satipur, in central India. Douglas is an attentive husband and the couple seems to be very much in love. When he insists that Olivia spend the summer in Simla to avoid the extreme heat, she refuses in order to remain with him. However, the conventional narrow society of the English memsahibs bores her. Mrs Saunders (Jennifer Kendal), the morbid wife of the local doctor, warns Olivia that all Indian men are potential rapists. Mrs Crawford (Susan Fleetwood), the Burra Memsahib, is kindly but equally conservative. The racist Doctor Saunders takes an instant dislike to Olivia. While the Anglo-Indian society seems to have little to offer Olivia, she is slowly enthralled by India itself. The region is being ransacked by a group of sanguinary bandits, and intrigues are opposing the British community led by Major Minnies and Mr. Crawford against the ruler of the neighboring princely state, the Nawab of Khatm (Shashi Kapoor). The British suspect him of being in league with a gang of bandits, allowing them to operate with impunity in exchange for a share of their booty.
The Nawab, a romantic and decadent minor prince who combines British distinction with Indian pomp and ruthlessness, invites all the Anglo-Indian officials and their wives for a dinner party at his palace. At the dinner, Olivia attracts the attention of the Nawab. Harry Hamilton-Paul enjoys a close intimacy with the Nawab and is a permanent guest at the palace. With his good humor and charm, Harry serves a sort of court jester and he is well liked even by the chain smoking and proud Begum Mussarat Jahan (Madhur Jaffrey), the Nawab's mother. In the midst of the intense summer heat, Harry falls ill and Olivia comes often to visit him at the Nawab's palace. The Nawab easily seduces Olivia and they engage in an illicit affair.
Following in Olivia’s footsteps, Anne comes to Satipur to live in the same surroundings that framed Olivia’s story more than fifty years earlier. She stays as the guest of an Indian family. The head of the household, Inder Lal (Zakir Hussain), is a polite civil servant who serves as her guide while she tries to get connected with the world that Olivia lived. Inder Lal is worried that their hitherto innocent relationship will be perceived as sexual. Lal is married with children and lives with his wife and his mother. Ritu, Lal's young wife, is an epileptic and he slowly, but surely, endears himself to Anne to whom he is attracted. Anne befriends Chid (Charles McCaughan), an American sanyasi and would-be convert to Hindu mysticism. Chid tries to seduce Anne with his antics, but she firmly rebuffs his sexual advances while becoming closer to Inder Lal. Eventually, Anne invites Lal into her bed.
Things get complicated for Olivia when she gets pregnant. She informs Douglas and the Nawab about it. Both men welcome the news. Douglas, unaware of his wife's infidelity, wishes for a son as blond as he is. The Nawab does not doubt that he is the father and he is overjoyed. He is in the midst of being deposed by the British, and views having a mixed-race heir as the ultimate revenge. Suspecting that the Nawab is the child's father, Olivia has an abortion in secret with Harry and the Begum's help, pretending to have a miscarriage. However, Olivia continues bleeding and is admitted to the hospital, where Dr. Crawford immediately discovers her ruse. Olivia runs away from the hospital early in the morning, eloping with the Nawab to Kashmir. She leaves Douglas broken-hearted, though he eventually remarries.
Like Olivia, Anne gets pregnant and she also decides to get an abortion, but backs down at the last minute. The Indian diet makes Chid falls sick and he returns to the United States. Anne also leaves behind the heat and dust of Satipur. She travels to the snowy mountains of Kashmir where Olivia spent her last years in solitude, seldom visited by the Nawab. Anne plans to bear her child in a hospital nearby."
Jedara Bale,"Rajkumar plays a CID Police Agent, who is code-named as ""999"". The story revolves around the attempt to stop a formula which can convert any metal into gold reaching the hands of hooligans. Uday Kumar plays the honcho of the villain gang."
Chance,"Chance is a twentysomething slacker living in Los Angeles, who relies on a trust fund for finances. Her friend Simon, a not very successful telemarketer who is self-conscious about his body odor, has been sleeping on her couch. One day, Simon comes home from the grocery store to find a woman in Chance's bed who won't wake up.
The film then goes back several months. Chance is annoyed when Rory, a struggling actor with whom Chance had a one-night stand, appears at her door and becomes emotional trying to convince her that they have a connection beyond just sex because they really talked afterward. Chance and Simon spin a story about meeting in a mental institution, which makes Rory uncomfortable enough to stop crying and to leave.
Simon tricks Chance into answering a phone call from her mother by telling her that it's a man named Jack whom she was immediately attracted to when she met at a nightclub. Her mother, Desiree, is calling to tell her that she is coming to visit. Trying to escape spending time with her mother, Chance persuades Simon to switch roles with her for the weekend and Simon spends time with Desiree pretending to be Chance until Desiree tells Simon that she needs to talk to Chance about something in particular. Desiree tells Chance that she is divorcing Chance's father, Malcolm, because he is in a relationship with another woman named Heidi.
Upset, Chance tells Simon about her parents' divorce and reveals that Desiree wants to stay with them for a while. Chance is suspicious when Simon tries to offer some comfort, and he begs again for $200 to pay off some unpaid parking tickets. Though hesitant to loan anyone money because of a bad experience with her first serious boyfriend, Chance agrees to give him the money for playing along with her charade for her mother.
Uncomfortable with the idea of her mother living with her, Chance arranges for Desiree and her to have dinner with Malcolm and Heidi. Chance also invites Rory and, as Chance had hoped, Heidi is immediately smitten with him because she watches the soap opera in which he stars. When Rory manages to get Heidi out of the room, Chance asks her parents about the divorce. Malcolm reveals that Desiree had suggested that they experiment sexually with Heidi, and Desiree felt rejected when Heidi preferred him. Desiree insists that he seduced her, but Malcolm denies it. Malcolm says that while attractions may come and go he loves her.
Chance goes out to a club one night and meets a woman named Sara, who makes sexual advances on her. Chance brings Sara home with her, and after spending a day in bed together, Sara suggests that they take some drugs. Chance refuses and takes the drugs away. Chance leaves her apartment the next morning, and when she returns she finds Simon in her bedroom with Sara, who has apparently overdosed. Chance initially tries to comfort Simon, but soon she herself begins to freak out when she realizes that she has a dead woman in her bed. Overcome with emotion, Simon kisses Chance and they have sex. Afterward, the two quickly begin to fight about the significance of the sex and Simon leaves the apartment.
The next morning Chance awakes to find Sara, alive, sitting at the kitchen table. Sara tells her that she wasn't dead, just ""resting."" She thanks Chance for the place to sleep and then leaves. Chance then realizes that Simon never came home.
Simon has run into Jack, who recognizes him from the nightclub. The two make small talk until Simon realizes that Jack is hitting on him. Simon begins laughing and at Jack's confusion tells him that Chance has a huge crush on him and thinks that he is straight. Simon then tells Jack about what had happened the night before and about his frustration and attraction to Chance. Jack tells Simon that, even though he is gay, he sometimes has sex with women because he needs the contact with human beings, and Simon realizes that he needs that human contact too. Simon returns to Chance's apartment, and Chance is happy to see him, greeting him with a hug. They apologize for their actions and both admit that they are ready to try a relationship."
Reunion,"Newspapers around the world proclaim the birth of the 3,000th baby in Moosetown, Canada, who was delivered by Dr. John Luke, known for delivering the famous Wyatt quintuplets. To honor the doctor on his retirement and to publicize their town, the Moosetown Chamber of Commerce decides to hold a reunion of all the babies delivered by the doctor. Some of those babies have since become famous. The first baby he delivered, Phillip Crandall, is now a governor. One other is the motion picture star, Janet Fair.
Phillip and his wife are childless. Phillip is against adoption because he fears that his opponent in the upcoming election would suggest that the adopted baby was his from the past. He decides to go to the reunion to renew his friendship with Dr. Luke, whom he hasn't seen since a fishing trip twelve years earlier. When Janet, who is down on her luck, learns from her agent that she has the lead in a New York show, she decides to accept the invitation to the reunion for the publicity she hopes it will bring.
In Atlanta, the quintuplets' father (Asa Wyatt) is upset when his rival (Constable Jim Ogden) excitedly brags that his wife is due any minute to give birth to six babies because two fortune-tellers have told him so. When Jim's wife gives birth to one baby, Jim is disappointed at first, but as he plays with his new baby daughter he tells her that he'd rather have her than six or sixty babies.
After Dr. Luke's nephew Tony arrives from Tennessee to take Dr. Luke's position, Tony receives a call from a woman in Toronto. This upsets nurse Mary McKenzie, Tony's sweetheart. Many of the thousands who come to the reunion throng around Janet, who is pleased to see her old friend, bachelor Charlie Renard. Phillip is attracted to an orphan named Rusty, who Dr. Luke says was born eleven years ago to a woman who died of a broken heart. The mention of the woman's name greatly affects Phillip.
Dr. Richard Sheridan and his wife Gloria then arrive from Toronto, and Gloria (the woman who called Tony) tells him that she plans to divorce Dick. Dick is a workaholic whom she no longer loves. When Dr. Luke (surmising the affair between Tony and Gloria) berates his son, Tony admits that he doesn't love Gloria. Although Dr. Luke pleads with him to end the affair, Tony refuses, feeling that he owes it to Gloria to carry on. When Dr. Luke tries to convince Gloria that Tony doesn't love her, but that he loves Mary, she becomes indignant. Dr. Luke then convinces her to freshen up in a bedroom and arranges for Mary to meet Tony in an adjoining room. When Dr. Luke makes Tony admit that an older woman has made a fool of him, Gloria overhears and leaves in an agitated state. Although Tony confesses that he loves Mary, she says she cannot love anyone who could turn his affections off and on at will.
At the reunion gathering, Dr. Luke instructs Rusty to repeatedly make a gesture identical to one that Phillip makes. Won over by the boy, Phillip asks Dr. Luke about adoption formalities. When a telegram arrives from Janet's agent stating that the deal for the role in the New York play is off because the producer wants a younger woman, Janet, who is shaken, goes inside. The gathered then watch as the quintuplets arrive, each in a pony-drawn carriage, and play in a fenced-in enclosure. Dick tells Dr. Luke that he and Gloria, after a long talk, have decided to go abroad for a second honeymoon. Gloria shakes Dr. Luke's hand. Dr. Luke then learns that Janet has shot herself.
Tony takes charge of the operation with Mary as his assistant. After the operation, Tony tells Charlie that Janet will survive if she has anything to live for. Charlie calls her by her real name, Mamie. Then he kisses her face, and she takes his hand. Tony and Mary reconcile. Dr. Luke's long time nurse, Katherine Kennedy, mildly rebukes him for falsely making Phillip believe that he is Rusty's father.[1]"
Xtro,"Sam Phillips and his child Tony are playing outside their farm. The father is abducted by a strong light. Three years later, the light returns, and plants a seed. A half-human, half-alien creature grows up, and when it moves it is run over by a car. Ben is attacked and killed when he looks for the crash victim. Jane, his companion, is also killed by the hybrid creature. The monster then moves to a cottage nearby and attacks and impregnates a woman living there, before dissolving and dying. When she returns to consciousness, her belly rapidly and painfully grows to a gargantuan size that it even tears through her dress, showing movement inside her belly, and she gives birth, vaginally, to a fully formed and bloody Sam, who is connected to her by an umbilical cord like a baby is to its mother, before dying. Sam washes the blood off, steals Ben's clothes and drives his car without bothering to get rid of Jane's corpse, which will be found by a lorry driver.
Sam seeks Tony, who lives in an apartment building in London, with his mother Rachael, her new boyfriend Joe Daniels, and a French au-pair Analise Mercier. Rachel and Joe are professional photographers and share a studio in town. Many nights, Tony has nightmares where he wakes up soaked in blood, but it's not his, as the family doctor discovers. Sam picks Tony up from school, until Rachel finds them. Although Joe doesn't like it, as he intends to marry Rachel, Sam goes to live with them, saying he can't remember anything. Tony sees him eating his pet snake's eggs and runs from him. Sam goes after him, talking to him smoothly, and drinks his blood.
Rachel finds Jane's photo in Sam's clothes, but he can't remember her either. Tony discovers he has certain powers now, so he sends a human-sized toy soldier to kill their nasty neighbour Mrs Goodman, in revenge for killing his pet snake, and a toy clown becomes a human-like clown.
Sam and Rachel both decide to visit their former residence, the farm, while leaving Tony in Analise's care. However, she brings Michael, her boyfriend, and they make love. Tony demands to play hide-and-seek with her. She does so, only to be knocked out by the clown and used as a womb for the alien eggs; Tony sends a toy tank to kill Michael. He discovers Analise and runs away, but a black panther kills him. The building keeper, Mr. Knight, is also killed when Rachel asks him to watch Tony, as nobody answers the phone at home. Sam and Rachel make love at the abandoned farm, but she gets afraid because his skin starts to bleed and decompose. Joe has taken Tony there. Sam and Tony go up a hill towards the alien light. Sam has now taken the form of an alien, and his scream kills Joe. Along with Tony, Sam enters the light and returns to the alien world. Rachel sits down in the field where Tony and Sam left, and the next day returns to her apartment, only to be seen full of eggs. She picks up an egg, only to be killed by the same creature that impregnated the woman in the cottage as her apartment door slams shut behind her.
Director Harry Bromley Davenport originally intended the film to end with Rachel coming home to find the apartment filled with clones of Tony, having apparently come from the alien eggs which the real Tony had left in the refrigerator. Executive producer Robert Shaye, not thinking the scene's special effects were convincing enough, edited it out and released it for its New York debut with the film ending when Rachel sits down in the field after Sam and Tony have left. Davenport, however, not wanting to have it end on such an abrupt note, created another ending which had Rachel going back to the apartment, picking up one of the eggs, and being attacked by a face-grabbing creature similar to the one that attacked the woman in the cottage. Ultimately the film was released with this ending."
Daredevil,"Matt Murdock is a blind lawyer in New York City's Hell's Kitchen neighborhood, where he runs a firm with best friend Franklin ""Foggy"" Nelson. As a child, Matt was blinded by a toxic waste spill. The accident enhanced Matt's other senses and gave him sonar to ""see"" via sonic vibrations. Matt's father, boxer Jack ""The Devil"", was killed after refusing to turn in a fixed fight for the mobster who had employed him earlier. After his father's death, Matt promised to stop all crime that controlled Hell's Kitchen, New York as the vigilante crime-fighter ""Daredevil"".
Matt meets Elektra Natchios, daughter of Nikolas Natchios, a businessman who has dealings with Wilson Fisk, a rich executive who is also the criminal leader known as the Kingpin. When Nikolas tries to end his relationship with Fisk, the mobster hires the Irish hitman Bullseye, who has preternatural aim, to kill him. Matt tries to stop Bullseye, but Bullseye ultimately succeeds in killing Nikolas and framing Matt's alter-ego in the process. Elektra vows to exact revenge, while reporter Ben Urich discovers his secret identity. Believing Matt to have done good things for Hell's Kitchen, Urich tells Matt that Bullseye is going after Elektra next.
Matt tracks Bullseye, but is attacked by Elektra, who plans to use her own training in martial arts to avenge her father's death. She defeats and injures Matt; when she manages to remove his mask, she discovers Matt's secret identity and innocence. Forced to fight Bullseye alone, Elektra is overpowered and killed by the hitman. A wounded Matt makes his way to a church, where he is looked after by his confidante, Father Everett, who knows his secret identity. After recovering slightly, Matt fights Bullseye, who had followed him to the church. Bullseye discovers that loud noise is Matt's weakness and prepares to kill him with a spiked piece of wood after incapacitating him. Matt blocks the attack and hears an FBI sniper stationed on the neighboring building preparing to fire. As the bullet is fired, Matt moves out of the bullet's path and pulls Bullseye's hands into it. When Bullseye pleads for mercy, Matt throws him from the church's steeple. Bullseye lands on the hood of Urich's car, severely injured but alive.
Upon discovering Fisk is the Kingpin and Bullseye's employer, Matt makes his way to Fisk's office. There, Matt and Fisk begin a fierce fight; however, Fisk proves to be a surprisingly powerful combatant due to his size and brute strength, and he dominates Matt for most of the fight. Lying on the floor, Matt questions Fisk as to why he killed the people Murdock loved, including Jack Murdock years before: Fisk replies it was just business, for he had worked under Fallon at the time he killed Jack, and Elektra was ""in the wrong family at the wrong time"". Angered, Matt regains his strength and breaks Fisk's legs, but refrains from killing him, instead allowing him to be arrested by the police, who have discovered his criminal connections. Before being taken away, Fisk—who had also discovered Matt's secret identity after overpowering him—swears revenge on Matt, who points out that Fisk cannot reveal Matt's secret identity because the humiliation of having been beaten by a blind man will cause him to be perceived as weak by other prison inmates. Having gained closure over his father's murder, Matt returns to his day-to-day routine, and meets Urich one last time, in which Urich assures him he will not publish his article about Matt's true identity.
In a mid-credits scene, Bullseye, having been moved to a prison hospital and severely bandaged after his confrontation with Matt, is shown to still have his perfect aim after he impales a fly with a syringe needle and says ""Bullseye."""
Debt of Honour,"A Colonel's daughter steals from the regimental mess funds to pay off her gambling debts. One of the officers, who is love with her, takes the blame, and is sent to Africa.[1]"
The House Bunny,"Shelley Darlington (Anna Faris) is an aspiring Playboy Playmate living the life of luxury in the Playboy Mansion. The day after her 27th birthday, she awakes to find a note, seemingly from Hugh Hefner, asking her to pack up and leave. She happens to stumble upon a group of girls who remind her of herself: beautiful and fun. She follows them and sees that they live in luxury too. They turn out to be the Phi Iota Mu sorority, and snobbishly reject her when she tries to join them.
She makes her way down to the Zeta Alpha Zeta house, which appears to be far less luxurious than the first sorority she visited. The members of the Zeta house are dowdy, socially awkward, and caught off guard by Shelley's bubbly nature, prompting them to initially reject her. Once they see Shelley's ability to attract boys, the Zetas change their mind and take in Shelley as their new ""house mother"", hoping that she can save them: their sorority is in danger of being shut down unless they can get thirty new pledges to join.
During her time spent with the Zetas, Shelley meets and becomes attracted to an intellectual, altruistic guy named Oliver (Colin Hanks), who works at a retirement home. Shelley goes out on a date with Oliver, and while her flirty tactics work with most guys, they fail with him, for he is a guy who actually wants to get to know Shelley rather than just sleep with her. To impress Oliver on their upcoming second date, Shelley starts attending classes and reading books, and tones down her appearance. The second date is also a disaster because she wears glasses that aren't meant for her, and brings along note cards to help her sound smart.
Having gotten a makeover and lessons on how to attract guys and be popular, the Zetas throw a party, which is a huge success. Later, the Zetas are reviewing the girls who are hoping to pledge to Zeta, but their new popularity has made them conceited. When they realize what they've become, they blame Shelley—just as she returns from her unsuccessful date.
Although Shelley had just been invited back to the Playboy Mansion (after Hefner had learned of the forged dismissal) and decided to stay with the Zetas, the unexpected attack from them makes her reconsider, and she calls back to accept the invitation. The Zetas then feel guilty, and decide to give themselves a second makeover, this time being ""Half-Shelley and Half-Themselves"". They also decide to draw the pledges out at random, instead of judging them. They show up at Shelley's photo shoot and ask for her to come back, to which she agrees, having changed her mind about her dream of being a centerfold.
The rival Phi Iota Mu sorority intercepts the invitations and prevents them from being mailed out, so the Zetas are again in danger of being shut down at the campus meeting of the Panhellenic Council. Shelley crashes the meeting and gives a heartfelt speech about what her experience with the Zetas has taught her about love and acceptance, and asks for pledges on the spot; gradually thirty students agree to pledge, and the sorority is saved. Oliver and Shelley reconcile, and Shelley explains that she likes Oliver a lot and was trying too hard to impress him. They decide to start over with their relationship and Oliver is looking forward to getting to know the ""real"" Shelley.
The film ends with Zetas and their new pledges celebrating. Shelley has remained in close contact with Hefner and her friends at the Playboy Mansion."
Major Chandrakanth,"Mohan is a tailor who lives with his younger sister Vimala. Orphaned at a an early age, Mohan goes through a life of hardship and fulfill all his sister's wishes. Womaniser Rajinikanth lures Vimala and cheats on her. Unable to face her brother, she commits suicide. Mohan confronts Rajinikanth and kills him in revenge. A wild search is on by the cops and the fugitive hides in the house of Chandrakanth, a retired and blind major. Mohan is amused and fascinated by Chandrakanth's virtues and how he manages to live though he is blind. Mohan reveals why he is on the run from law and ironically the deceased happens to be Chandrakanth's youngest son. Chandrakanth feels humiliated for nurturing Rajinikanth and is sorry for Mohan's plight. Ultimately, Chandrakanth's elder son Srikanth, an inspector, arrests Mohan along with his father for his hospitality to a criminal."
